measure,asset,curr,gran,high,rfc3339
crypto_price,ADA,EUR,Hour,728.79,2021-01-03T19:00:00Z
crypto_price,ADA,EUR,Hour,729.83,2021-01-03T20:00:00Z
crypto_price,ADA,EUR,Hour,747.91,2021-01-03T21:00:00Z
crypto_price,ADA,EUR,Hour,752.37,2021-01-03T22:00:00Z
crypto_price,ADA,EUR,Hour,785.41,2021-01-03T23:00:00Z
crypto_price,ADA,EUR,Hour,782.18,2021-01-04T00:00:00Z
crypto_price,ADA,EUR,Hour,773.58,2021-01-04T01:00:00Z
crypto_price,ADA,EUR,Hour,762.86,2021-01-04T02:00:00Z
crypto_price,ADA,EUR,Hour,775.06,2021-01-04T03:00:00Z
crypto_price,ADA,EUR,Hour,811.15,2021-01-04T04:00:00Z
crypto_price,ADA,EUR,Hour,816.88,2021-01-04T05:00:00Z
crypto_price,ADA,EUR,Hour,851.06,2021-01-04T06:00:00Z
crypto_price,ADA,EUR,Hour,863.52,2021-01-04T07:00:00Z
crypto_price,ADA,EUR,Hour,818.07,2021-01-04T08:00:00Z
crypto_price,ADA,EUR,Hour,811.31,2021-01-04T09:00:00Z
crypto_price,ADA,EUR,Hour,793.08,2021-01-04T10:00:00Z
crypto_price,ADA,EUR,Hour,783.71,2021-01-04T11:00:00Z
crypto_price,ADA,EUR,Hour,796.47,2021-01-04T12:00:00Z
crypto_price,ADA,EUR,Hour,829.87,2021-01-04T13:00:00Z
crypto_price,ADA,EUR,Hour,828.8,2021-01-04T14:00:00Z
crypto_price,ADA,EUR,Hour,852.75,2021-01-04T15:00:00Z
crypto_price,ADA,EUR,Hour,854.57,2021-01-04T16:00:00Z
crypto_price,ADA,EUR,Hour,833.78,2021-01-04T17:00:00Z
crypto_price,ADA,EUR,Hour,820.0,2021-01-04T18:00:00Z
crypto_price,ADA,EUR,Hour,833.74,2021-01-04T19:00:00Z
crypto_price,ADA,EUR,Hour,855.0,2021-01-04T20:00:00Z
crypto_price,ADA,EUR,Hour,839.44,2021-01-04T21:00:00Z
crypto_price,ADA,EUR,Hour,822.61,2021-01-04T22:00:00Z
crypto_price,ADA,EUR,Hour,826.47,2021-01-04T23:00:00Z
crypto_price,ADA,EUR,Hour,854.72,2021-01-05T00:00:00Z
crypto_price,ADA,EUR,Hour,895.49,2021-01-05T01:00:00Z
crypto_price,ADA,EUR,Hour,902.93,2021-01-05T02:00:00Z
