asset,curr,gran,high,rfc3339
BTC,EUR,Day,361.468505859375,2014-09-17T00:00:00Z
BTC,EUR,Day,355.5054016113281,2014-09-18T00:00:00Z
BTC,EUR,Day,330.93670654296875,2014-09-19T00:00:00Z
BTC,EUR,Day,329.9781799316406,2014-09-20T00:00:00Z
BTC,EUR,Day,321.5045166015625,2014-09-21T00:00:00Z
BTC,EUR,Day,316.4691162109375,2014-09-22T00:00:00Z
BTC,EUR,Day,343.7043762207031,2014-09-23T00:00:00Z
BTC,EUR,Day,339.30755615234375,2014-09-24T00:00:00Z
BTC,EUR,Day,331.4446716308594,2014-09-25T00:00:00Z
BTC,EUR,Day,325.3394775390625,2014-09-26T00:00:00Z
BTC,EUR,Day,320.6300048828125,2014-09-27T00:00:00Z
BTC,EUR,Day,316.2095947265625,2014-09-28T00:00:00Z
BTC,EUR,Day,303.2679748535156,2014-09-29T00:00:00Z
BTC,EUR,Day,309.5621337890625,2014-09-30T00:00:00Z
BTC,EUR,Day,310.22430419921875,2014-10-01T00:00:00Z
BTC,EUR,Day,304.6925354003906,2014-10-02T00:00:00Z
BTC,EUR,Day,299.35406494140625,2014-10-03T00:00:00Z
BTC,EUR,Day,291.2401123046875,2014-10-04T00:00:00Z
BTC,EUR,Day,273.1130676269531,2014-10-05T00:00:00Z
BTC,EUR,Day,274.5696105957031,2014-10-06T00:00:00Z
BTC,EUR,Day,268.81695556640625,2014-10-07T00:00:00Z
BTC,EUR,Day,278.1070556640625,2014-10-08T00:00:00Z
BTC,EUR,Day,301.691650390625,2014-10-09T00:00:00Z
BTC,EUR,Day,295.2818298339844,2014-10-10T00:00:00Z
BTC,EUR,Day,290.8213195800781,2014-10-11T00:00:00Z
BTC,EUR,Day,300.04193115234375,2014-10-12T00:00:00Z
BTC,EUR,Day,311.9167785644531,2014-10-13T00:00:00Z
BTC,EUR,Day,323.814697265625,2014-10-14T00:00:00Z
BTC,EUR,Day,318.09173583984375,2014-10-15T00:00:00Z
BTC,EUR,Day,310.76678466796875,2014-10-16T00:00:00Z
BTC,EUR,Day,302.1697998046875,2014-10-17T00:00:00Z
BTC,EUR,Day,309.7577819824219,2014-10-18T00:00:00Z
BTC,EUR,Day,308.8022155761719,2014-10-19T00:00:00Z
BTC,EUR,Day,305.9002685546875,2014-10-20T00:00:00Z
BTC,EUR,Day,308.417236328125,2014-10-21T00:00:00Z
BTC,EUR,Day,305.4842529296875,2014-10-22T00:00:00Z
BTC,EUR,Day,304.65069580078125,2014-10-23T00:00:00Z
BTC,EUR,Day,287.2703552246094,2014-10-24T00:00:00Z
BTC,EUR,Day,284.0260314941406,2014-10-25T00:00:00Z
BTC,EUR,Day,283.52093505859375,2014-10-26T00:00:00Z
BTC,EUR,Day,282.0764465332031,2014-10-27T00:00:00Z
BTC,EUR,Day,283.2735290527344,2014-10-28T00:00:00Z
BTC,EUR,Day,280.9839172363281,2014-10-29T00:00:00Z
BTC,EUR,Day,278.21533203125,2014-10-30T00:00:00Z
BTC,EUR,Day,276.11663818359375,2014-10-31T00:00:00Z
BTC,EUR,Day,271.9011535644531,2014-11-01T00:00:00Z
BTC,EUR,Day,262.73553466796875,2014-11-02T00:00:00Z
BTC,EUR,Day,267.6083679199219,2014-11-03T00:00:00Z
BTC,EUR,Day,265.0743103027344,2014-11-04T00:00:00Z
BTC,EUR,Day,275.09130859375,2014-11-05T00:00:00Z
BTC,EUR,Day,285.2019958496094,2014-11-06T00:00:00Z
BTC,EUR,Day,284.96685791015625,2014-11-07T00:00:00Z
BTC,EUR,Day,278.69580078125,2014-11-08T00:00:00Z
BTC,EUR,Day,291.7176208496094,2014-11-09T00:00:00Z
BTC,EUR,Day,301.78424072265625,2014-11-10T00:00:00Z
BTC,EUR,Day,298.9132080078125,2014-11-11T00:00:00Z
BTC,EUR,Day,345.4046936035156,2014-11-12T00:00:00Z
BTC,EUR,Day,367.29046630859375,2014-11-13T00:00:00Z
BTC,EUR,Day,336.2085266113281,2014-11-14T00:00:00Z
BTC,EUR,Day,323.8782958984375,2014-11-15T00:00:00Z
BTC,EUR,Day,312.1148681640625,2014-11-16T00:00:00Z
BTC,EUR,Day,328.34307861328125,2014-11-17T00:00:00Z
BTC,EUR,Day,314.90411376953125,2014-11-18T00:00:00Z
BTC,EUR,Day,308.6415710449219,2014-11-19T00:00:00Z
BTC,EUR,Day,304.718017578125,2014-11-20T00:00:00Z
BTC,EUR,Day,285.25347900390625,2014-11-21T00:00:00Z
BTC,EUR,Day,294.5116271972656,2014-11-22T00:00:00Z
BTC,EUR,Day,299.8665771484375,2014-11-23T00:00:00Z
BTC,EUR,Day,311.2362365722656,2014-11-24T00:00:00Z
BTC,EUR,Day,317.38580322265625,2014-11-25T00:00:00Z
BTC,EUR,Day,302.9582214355469,2014-11-26T00:00:00Z
BTC,EUR,Day,299.0261535644531,2014-11-27T00:00:00Z
BTC,EUR,Day,307.376953125,2014-11-28T00:00:00Z
BTC,EUR,Day,311.22613525390625,2014-11-29T00:00:00Z
BTC,EUR,Day,307.15191650390625,2014-11-30T00:00:00Z
BTC,EUR,Day,308.23651123046875,2014-12-01T00:00:00Z
BTC,EUR,Day,308.8363342285156,2014-12-02T00:00:00Z
BTC,EUR,Day,309.291015625,2014-12-03T00:00:00Z
BTC,EUR,Day,307.74951171875,2014-12-04T00:00:00Z
BTC,EUR,Day,308.66259765625,2014-12-05T00:00:00Z
BTC,EUR,Day,308.0569763183594,2014-12-06T00:00:00Z
BTC,EUR,Day,306.3269348144531,2014-12-07T00:00:00Z
BTC,EUR,Day,305.96337890625,2014-12-08T00:00:00Z
BTC,EUR,Day,295.05645751953125,2014-12-09T00:00:00Z
BTC,EUR,Day,284.5707702636719,2014-12-10T00:00:00Z
BTC,EUR,Day,290.40985107421875,2014-12-11T00:00:00Z
BTC,EUR,Day,283.4977111816406,2014-12-12T00:00:00Z
BTC,EUR,Day,282.809814453125,2014-12-13T00:00:00Z
BTC,EUR,Day,283.1511535644531,2014-12-14T00:00:00Z
BTC,EUR,Day,282.35552978515625,2014-12-15T00:00:00Z
BTC,EUR,Day,277.9770202636719,2014-12-16T00:00:00Z
BTC,EUR,Day,266.9923400878906,2014-12-17T00:00:00Z
BTC,EUR,Day,262.1762390136719,2014-12-18T00:00:00Z
BTC,EUR,Day,260.5373840332031,2014-12-19T00:00:00Z
BTC,EUR,Day,270.1603088378906,2014-12-20T00:00:00Z
BTC,EUR,Day,269.591064453125,2014-12-21T00:00:00Z
BTC,EUR,Day,272.6817932128906,2014-12-22T00:00:00Z
BTC,EUR,Day,276.3699645996094,2014-12-23T00:00:00Z
BTC,EUR,Day,274.8961181640625,2014-12-24T00:00:00Z
BTC,EUR,Day,264.6788635253906,2014-12-25T00:00:00Z
BTC,EUR,Day,272.12744140625,2014-12-26T00:00:00Z
BTC,EUR,Day,270.15277099609375,2014-12-27T00:00:00Z
BTC,EUR,Day,262.856689453125,2014-12-28T00:00:00Z
BTC,EUR,Day,262.9018249511719,2014-12-29T00:00:00Z
BTC,EUR,Day,259.40093994140625,2014-12-30T00:00:00Z
BTC,EUR,Day,264.7098083496094,2014-12-31T00:00:00Z
BTC,EUR,Day,264.9098815917969,2015-01-01T00:00:00Z
BTC,EUR,Day,263.1772155761719,2015-01-02T00:00:00Z
BTC,EUR,Day,262.6468811035156,2015-01-03T00:00:00Z
BTC,EUR,Day,239.3782958984375,2015-01-04T00:00:00Z
BTC,EUR,Day,232.7460479736328,2015-01-05T00:00:00Z
BTC,EUR,Day,242.35398864746094,2015-01-06T00:00:00Z
BTC,EUR,Day,252.51795959472656,2015-01-07T00:00:00Z
BTC,EUR,Day,248.46681213378906,2015-01-08T00:00:00Z
BTC,EUR,Day,245.83180236816406,2015-01-09T00:00:00Z
BTC,EUR,Day,243.26832580566406,2015-01-10T00:00:00Z
BTC,EUR,Day,236.10098266601562,2015-01-11T00:00:00Z
BTC,EUR,Day,229.94003295898438,2015-01-12T00:00:00Z
BTC,EUR,Day,226.85354614257812,2015-01-13T00:00:00Z
BTC,EUR,Day,190.11123657226562,2015-01-14T00:00:00Z
BTC,EUR,Day,195.73358154296875,2015-01-15T00:00:00Z
BTC,EUR,Day,191.01025390625,2015-01-16T00:00:00Z
BTC,EUR,Day,183.04747009277344,2015-01-17T00:00:00Z
BTC,EUR,Day,189.0680389404297,2015-01-18T00:00:00Z
BTC,EUR,Day,186.68963623046875,2015-01-19T00:00:00Z
BTC,EUR,Day,185.77679443359375,2015-01-20T00:00:00Z
BTC,EUR,Day,196.14913940429688,2015-01-21T00:00:00Z
BTC,EUR,Day,204.30911254882812,2015-01-22T00:00:00Z
BTC,EUR,Day,209.3279266357422,2015-01-23T00:00:00Z
BTC,EUR,Day,221.4776611328125,2015-01-24T00:00:00Z
BTC,EUR,Day,228.99183654785156,2015-01-25T00:00:00Z
BTC,EUR,Day,275.3016662597656,2015-01-26T00:00:00Z
BTC,EUR,Day,245.0017852783203,2015-01-27T00:00:00Z
BTC,EUR,Day,234.7292022705078,2015-01-28T00:00:00Z
BTC,EUR,Day,211.61878967285156,2015-01-29T00:00:00Z
BTC,EUR,Day,214.15431213378906,2015-01-30T00:00:00Z
BTC,EUR,Day,206.89703369140625,2015-01-31T00:00:00Z
