asset,curr,gran,high,rfc3339
BTC,EUR,Hour,26028.02,2021-01-03T19:00:00Z
BTC,EUR,Hour,25924.91,2021-01-03T20:00:00Z
BTC,EUR,Hour,26670.77,2021-01-03T21:00:00Z
BTC,EUR,Hour,26580.99,2021-01-03T22:00:00Z
BTC,EUR,Hour,26224.14,2021-01-03T23:00:00Z
BTC,EUR,Hour,26236.7,2021-01-04T00:00:00Z
BTC,EUR,Hour,26081.69,2021-01-04T01:00:00Z
BTC,EUR,Hour,26188.12,2021-01-04T02:00:00Z
BTC,EUR,Hour,26417.92,2021-01-04T03:00:00Z
BTC,EUR,Hour,26487.9,2021-01-04T04:00:00Z
BTC,EUR,Hour,26457.41,2021-01-04T05:00:00Z
BTC,EUR,Hour,25757.48,2021-01-04T06:00:00Z
BTC,EUR,Hour,25777.49,2021-01-04T07:00:00Z
BTC,EUR,Hour,24856.06,2021-01-04T08:00:00Z
BTC,EUR,Hour,25420.62,2021-01-04T09:00:00Z
BTC,EUR,Hour,25056.01,2021-01-04T10:00:00Z
BTC,EUR,Hour,24575.98,2021-01-04T11:00:00Z
BTC,EUR,Hour,25037.72,2021-01-04T12:00:00Z
BTC,EUR,Hour,25422.97,2021-01-04T13:00:00Z
BTC,EUR,Hour,25730.0,2021-01-04T14:00:00Z
BTC,EUR,Hour,26199.98,2021-01-04T15:00:00Z
BTC,EUR,Hour,26013.68,2021-01-04T16:00:00Z
BTC,EUR,Hour,25714.3,2021-01-04T17:00:00Z
BTC,EUR,Hour,25459.33,2021-01-04T18:00:00Z
BTC,EUR,Hour,25547.24,2021-01-04T19:00:00Z
BTC,EUR,Hour,25979.59,2021-01-04T20:00:00Z
BTC,EUR,Hour,25600.62,2021-01-04T21:00:00Z
BTC,EUR,Hour,25346.53,2021-01-04T22:00:00Z
BTC,EUR,Hour,25589.56,2021-01-04T23:00:00Z
BTC,EUR,Hour,26119.96,2021-01-05T00:00:00Z
BTC,EUR,Hour,26333.19,2021-01-05T01:00:00Z
BTC,EUR,Hour,26537.89,2021-01-05T02:00:00Z
BTC,EUR,Hour,26208.72,2021-01-05T03:00:00Z
BTC,EUR,Hour,25566.55,2021-01-05T04:00:00Z
BTC,EUR,Hour,25250.0,2021-01-05T05:00:00Z
BTC,EUR,Hour,24912.64,2021-01-05T06:00:00Z
BTC,EUR,Hour,25529.92,2021-01-05T07:00:00Z
BTC,EUR,Hour,25256.18,2021-01-05T08:00:00Z
BTC,EUR,Hour,25569.27,2021-01-05T09:00:00Z
BTC,EUR,Hour,25872.78,2021-01-05T10:00:00Z
BTC,EUR,Hour,25643.62,2021-01-05T11:00:00Z
