,unix,date,volume,high,low,delta_high,delta_low,rfc3339
5,1411344000,2014-09-22,18776342.0,316.4691162109375,309.1708984375,,,2014-09-22T00:00:00Z
12,1411948800,2014-09-29,25610923.0,303.2679748535156,293.33331298828125,-13.201141357421875,-15.83758544921875,2014-09-29T00:00:00Z
19,1412553600,2014-10-06,62494503.0,274.5696105957031,241.699951171875,-28.6983642578125,-51.63336181640625,2014-10-06T00:00:00Z
26,1413158400,2014-10-13,27689780.0,311.9167785644531,290.8823547363281,37.34716796875,49.182403564453125,2014-10-13T00:00:00Z
33,1413763200,2014-10-20,12832356.0,305.9002685546875,296.2964172363281,-6.016510009765625,5.4140625,2014-10-20T00:00:00Z
40,1414368000,2014-10-27,10260589.0,282.0764465332031,275.61376953125,-23.823822021484375,-20.682647705078125,2014-10-27T00:00:00Z
47,1414972800,2014-11-03,10366264.0,267.6083679199219,260.19744873046875,-14.46807861328125,-15.41632080078125,2014-11-03T00:00:00Z
54,1415577600,2014-11-10,24507123.0,301.78424072265625,286.6220397949219,34.175872802734375,26.424591064453125,2014-11-10T00:00:00Z
61,1416182400,2014-11-17,33353792.0,328.34307861328125,303.19012451171875,26.558837890625,16.568084716796875,2014-11-17T00:00:00Z
68,1416787200,2014-11-24,24877423.0,311.2362365722656,295.7962341308594,-17.106842041015625,-7.393890380859375,2014-11-24T00:00:00Z
75,1417392000,2014-12-01,9434552.0,308.23651123046875,302.73992919921875,-2.999725341796875,6.943695068359375,2014-12-01T00:00:00Z
82,1417996800,2014-12-08,15347328.0,305.96337890625,293.8817443847656,-2.27313232421875,-8.858184814453125,2014-12-08T00:00:00Z
89,1418601600,2014-12-15,13879090.0,282.35552978515625,277.2112731933594,-23.60784912109375,-16.67047119140625,2014-12-15T00:00:00Z
96,1419206400,2014-12-22,18259635.0,272.6817932128906,261.8065185546875,-9.673736572265625,-15.404754638671875,2014-12-22T00:00:00Z
103,1419811200,2014-12-29,10123015.0,262.9018249511719,257.0216369628906,-9.77996826171875,-4.784881591796875,2014-12-29T00:00:00Z
110,1420416000,2015-01-05,36829019.0,232.7460479736328,221.62362670898438,-30.155776977539062,-35.39801025390625,2015-01-05T00:00:00Z
117,1421020800,2015-01-12,15958330.0,229.94003295898438,224.8029327392578,-2.8060150146484375,3.1793060302734375,2015-01-12T00:00:00Z
124,1421625600,2015-01-19,16093065.0,186.68963623046875,179.12388610839844,-43.250396728515625,-45.679046630859375,2015-01-19T00:00:00Z
131,1422230400,2015-01-26,94936439.0,275.3016662597656,227.38409423828125,88.61203002929688,48.26020812988281,2015-01-26T00:00:00Z
138,1422835200,2015-02-02,26999559.0,213.53936767578125,196.9387969970703,-61.762298583984375,-30.445297241210938,2015-02-02T00:00:00Z
145,1423440000,2015-02-09,24544114.0,197.54542541503906,191.8993682861328,-15.993942260742188,-5.0394287109375,2015-02-09T00:00:00Z
152,1424044800,2015-02-16,24844423.0,210.0508575439453,200.755615234375,12.50543212890625,8.856246948242188,2015-02-16T00:00:00Z
159,1424649600,2015-02-23,14472291.0,211.7923583984375,205.7005157470703,1.7415008544921875,4.9449005126953125,2015-02-23T00:00:00Z
166,1425254400,2015-03-02,36210917.0,247.182861328125,231.23533630371094,35.3905029296875,25.534820556640625,2015-03-02T00:00:00Z
173,1425859200,2015-03-09,54622669.0,269.72076416015625,252.62220764160156,22.53790283203125,21.386871337890625,2015-03-09T00:00:00Z
180,1426464000,2015-03-16,20355818.0,278.1463928222656,272.3922424316406,8.425628662109375,19.770034790039062,2015-03-16T00:00:00Z
187,1427068800,2015-03-23,20846112.0,254.40090942382812,238.90562438964844,-23.7454833984375,-33.48661804199219,2015-03-23T00:00:00Z
194,1427673600,2015-03-30,21250092.0,230.54481506347656,219.96690368652344,-23.856094360351562,-18.938720703125,2015-03-30T00:00:00Z
201,1428278400,2015-04-06,18324522.0,238.4534149169922,231.85336303710938,7.908599853515625,11.886459350585938,2015-04-06T00:00:00Z
208,1428883200,2015-04-13,29497493.0,223.67129516601562,210.084228515625,-14.782119750976562,-21.769134521484375,2015-04-13T00:00:00Z
215,1429488000,2015-04-20,17088211.0,210.8729248046875,205.40113830566406,-12.798370361328125,-4.6830902099609375,2015-04-20T00:00:00Z
222,1430092800,2015-04-27,35470345.0,214.35592651367188,201.38832092285156,3.483001708984375,-4.0128173828125,2015-04-27T00:00:00Z
229,1430697600,2015-05-04,19039562.0,217.3007354736328,213.2633819580078,2.9448089599609375,11.87506103515625,2015-05-04T00:00:00Z
236,1431302400,2015-05-11,18745895.0,218.86032104492188,214.8411407470703,1.5595855712890625,1.5777587890625,2015-05-11T00:00:00Z
243,1431907200,2015-05-18,14822277.0,207.51466369628906,205.4804229736328,-11.345657348632812,-9.3607177734375,2015-05-18T00:00:00Z
250,1432512000,2015-05-25,13150894.0,219.07015991210938,215.5949249267578,11.555496215820312,10.114501953125,2015-05-25T00:00:00Z
257,1433116800,2015-06-01,23890212.0,212.4053497314453,202.6334686279297,-6.6648101806640625,-12.961456298828125,2015-06-01T00:00:00Z
264,1433721600,2015-06-08,20729207.0,203.3173828125,200.71969604492188,-9.087966918945312,-1.9137725830078125,2015-06-08T00:00:00Z
271,1434326400,2015-06-15,17663532.0,211.01588439941406,207.94833374023438,7.6985015869140625,7.2286376953125,2015-06-15T00:00:00Z
278,1434931200,2015-06-22,15597725.0,218.6024169921875,215.02955627441406,7.5865325927734375,7.0812225341796875,2015-06-22T00:00:00Z
285,1435536000,2015-06-29,30978957.0,229.3525390625,225.7569580078125,10.7501220703125,10.727401733398438,2015-06-29T00:00:00Z
292,1436140800,2015-07-06,44500091.0,250.26792907714844,242.3913116455078,20.915390014648438,16.634353637695312,2015-07-06T00:00:00Z
