#datatype,string,string,string,double,dateTime:RFC3339
#group,false,false,false,false,false
_measurement,asset,currency,granularity,price,time
crypto_price,ETH,EUR,Day,273.9029541015625,2017-11-11T00:00:00Z
crypto_price,ETH,EUR,Day,273.7396240234375,2017-11-12T00:00:00Z
crypto_price,ETH,EUR,Day,281.94970703125,2017-11-13T00:00:00Z
crypto_price,ETH,EUR,Day,290.8738708496094,2017-11-14T00:00:00Z
crypto_price,ETH,EUR,Day,289.0799560546875,2017-11-15T00:00:00Z
crypto_price,ETH,EUR,Day,285.60662841796875,2017-11-16T00:00:00Z
crypto_price,ETH,EUR,Day,284.2532043457031,2017-11-17T00:00:00Z
crypto_price,ETH,EUR,Day,296.4606018066406,2017-11-18T00:00:00Z
crypto_price,ETH,EUR,Day,314.84014892578125,2017-11-19T00:00:00Z
crypto_price,ETH,EUR,Day,317.1982421875,2017-11-20T00:00:00Z
crypto_price,ETH,EUR,Day,317.4550476074219,2017-11-21T00:00:00Z
crypto_price,ETH,EUR,Day,322.77227783203125,2017-11-22T00:00:00Z
crypto_price,ETH,EUR,Day,359.11224365234375,2017-11-23T00:00:00Z
crypto_price,ETH,EUR,Day,403.16259765625,2017-11-24T00:00:00Z
crypto_price,ETH,EUR,Day,406.6990661621094,2017-11-25T00:00:00Z
crypto_price,ETH,EUR,Day,396.2472839355469,2017-11-26T00:00:00Z
crypto_price,ETH,EUR,Day,413.8609313964844,2017-11-27T00:00:00Z
crypto_price,ETH,EUR,Day,405.41131591796875,2017-11-28T00:00:00Z
crypto_price,ETH,EUR,Day,441.5852355957031,2017-11-29T00:00:00Z
crypto_price,ETH,EUR,Day,392.4270935058594,2017-11-30T00:00:00Z
crypto_price,ETH,EUR,Day,397.51788330078125,2017-12-01T00:00:00Z
crypto_price,ETH,EUR,Day,400.5711364746094,2017-12-02T00:00:00Z
crypto_price,ETH,EUR,Day,407.3348388671875,2017-12-03T00:00:00Z
crypto_price,ETH,EUR,Day,400.3854064941406,2017-12-04T00:00:00Z
crypto_price,ETH,EUR,Day,399.6607360839844,2017-12-05T00:00:00Z
crypto_price,ETH,EUR,Day,391.2964172363281,2017-12-06T00:00:00Z
crypto_price,ETH,EUR,Day,374.1921081542969,2017-12-07T00:00:00Z
