,asset,curr,gran,high,date
2,ETH,EUR,Week,281.94970703125,2017-11-13
9,ETH,EUR,Week,317.1982421875,2017-11-20
16,ETH,EUR,Week,413.8609313964844,2017-11-27
23,ETH,EUR,Week,400.3854064941406,2017-12-04
30,ETH,EUR,Week,439.002197265625,2017-12-11
37,ETH,EUR,Week,682.3357543945312,2017-12-18
44,ETH,EUR,Week,659.0205688476562,2017-12-25
51,ETH,EUR,Week,652.1083374023438,2018-01-01
58,ETH,EUR,Week,1053.492431640625,2018-01-08
65,ETH,EUR,Week,1140.9500732421875,2018-01-15
72,ETH,EUR,Week,888.77099609375,2018-01-22
79,ETH,EUR,Week,1011.5099487304688,2018-01-29
86,ETH,EUR,Week,687.9033203125,2018-02-05
93,ETH,EUR,Week,712.491455078125,2018-02-12
100,ETH,EUR,Week,772.5877075195312,2018-02-19
107,ETH,EUR,Week,715.0682373046875,2018-02-26
114,ETH,EUR,Week,706.4479370117188,2018-03-05
121,ETH,EUR,Week,603.1304931640625,2018-03-12
128,ETH,EUR,Week,452.7092590332031,2018-03-19
135,ETH,EUR,Week,425.8041076660156,2018-03-26
142,ETH,EUR,Week,320.33966064453125,2018-04-02
149,ETH,EUR,Week,349.52447509765625,2018-04-09
156,ETH,EUR,Week,433.0390930175781,2018-04-16
163,ETH,EUR,Week,529.2144165039062,2018-04-23
170,ETH,EUR,Week,572.591552734375,2018-04-30
177,ETH,EUR,Week,665.3494873046875,2018-05-07
184,ETH,EUR,Week,622.4169311523438,2018-05-14
191,ETH,EUR,Week,613.4567260742188,2018-05-21
198,ETH,EUR,Week,491.71917724609375,2018-05-28
205,ETH,EUR,Week,533.8948364257812,2018-06-04
212,ETH,EUR,Week,455.11865234375,2018-06-11
219,ETH,EUR,Week,449.6303405761719,2018-06-18
226,ETH,EUR,Week,402.58837890625,2018-06-25
233,ETH,EUR,Week,412.9007263183594,2018-07-02
240,ETH,EUR,Week,417.7463684082031,2018-07-09
247,ETH,EUR,Week,410.5731506347656,2018-07-16
254,ETH,EUR,Week,400.3118896484375,2018-07-23
261,ETH,EUR,Week,401.64105224609375,2018-07-30
268,ETH,EUR,Week,358.5986022949219,2018-08-06
275,ETH,EUR,Week,284.0907897949219,2018-08-13
282,ETH,EUR,Week,266.2922058105469,2018-08-20
289,ETH,EUR,Week,244.4812469482422,2018-08-27
296,ETH,EUR,Week,254.86376953125,2018-09-03
